Label,Slug,Img,Link,Heading,Description,Price,Free Trial
Photo,photo1,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9de2cee803c50bfe7b14b_T1.png,https://www.picmonkey.com/blog/picmonkey-subscription-basic?utm_source=google&utm_medium=cpc&utm_campaign=G_Search_Brand_Proper_Not-Free_USA_EM&utm_content=PicMonkey_EM&utm_term=picmonkey_e_c_&gclid=CjwKCAjw5pPnBRBJEiwAULZKvgqaNDcvgVIJFwiXLz4Q-mDsahP_CuKCu0w9m0Be9lU9NPyTM1Xm3xoCaooQAvD_BwE,PicMonkey,"Create beautiful photos, logos, social media graphics, and facebook covers with PicMonkey's easy yet powerful photo editing and graphic design software.",$7.99,No
Photo,photo2,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9ed4d2f323204f3990dfc_T2.png,https://www.adobe.com/,Adobe Photoshop,"Create and enhance photos, illustrations, and 3D artwork.",$20.99,Yes
Photo,photo3,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9dde5cd9d011674ba6ba1_T3.png,https://www.adobe.com/,Adobe Creative Cloud,"20+ desktop and mobile apps, 100GB of cloud storage, portfolio website, and premium fonts.",$52.99,No
Photo,photo4,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9eddb3020d0272e0f508c_T4.png,https://ivorymix.com/,Ivory Mix,Smart Visual Marketing Strategies and Stock Photos for Busy Entrepreneurs.,free,Yes
Photo,photo5,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9ee375f1e461e522a70dd_T5.jpg,https://afterlight.co/,Afterlight,"A complete overhaul of the widely-popular Afterlight, thoughtfully re-designed & re-developed with ease of use in mind & an extensive list of brand new features.",$2.99,No
Photo,photo7,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9eee73020d074400f5858_T7.jpg,https://vsco.co/,Vsco,"VSCO is a photo company for creators, by creators.",$19.99,Yes
Photo,photo8,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9ef1b5f1e46a7032a7479_T8.jpeg,https://www.gimp.org/,Gimp,"GIMP is a cross-platform image editor available for GNU/Linux, OS X, Windows and more operating systems.",free,Yes
Print,print1,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f7f3a89295d055125531_T55.jpg,https://hotcards.com/,HotCards,Hotcards is a Cleveland based online printing and design company serving our community and the Nation with green printing and unparalleled culture,-,-
Print,print2,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f7d7b730b55ec14ad29e_T56.jpg,https://www.4imprint.com/,4imprint,"Promotional products by 4imprint. Find the perfect promotional items for business branding, saying thanks, or spreading the word.",-,-
Print,print3,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f7b5b7545f3980f6d18a_T57.jpg,https://www.vistaprint.com,Vistaprint,Vistaprint empowers small businesses like yours to market themselves effectively.,-,-
